Review,Sentiment
Very bad product,0
This product is amazing,1
I love this item,1
Not worth the money,0
I love this item,1
Worst purchase ever,0
Highly recommend,1
Poor quality,0
Poor quality,0
Excellent quality,1
I love this item,1
Very satisfied with purchase,1
Worst purchase ever,0
This product is amazing,1
Very satisfied with purchase,1
Very bad product,0
Terrible experience,0
I love this item,1
Great experience,1
I hate this,0
Excellent quality,1
Very bad product,0
Terrible experience,0
Very bad product,0
I love this item,1
Very satisfied with purchase,1
This product is amazing,1
This product is amazing,1
Very bad product,0
Very bad product,0
Worst purchase ever,0
This product is amazing,1
Not worth the money,0
Excellent quality,1
Terrible experience,0
Terrible experience,0
Excellent quality,1
Poor quality,0
I hate this,0
Excellent quality,1
I love this item,1
Great experience,1
I love this item,1
Very satisfied with purchase,1
Worst purchase ever,0
I love this item,1
Worst purchase ever,0
I love this item,1
Excellent quality,1
Highly recommend,1
I love this item,1
Great experience,1
I love this item,1
Poor quality,0
Very bad product,0
I love this item,1
I hate this,0
Highly recommend,1
Very bad product,0
Great experience,1
Very satisfied with purchase,1
Very bad product,0
Great experience,1
Very satisfied with purchase,1
Poor quality,0
Excellent quality,1
Very satisfied with purchase,1
I love this item,1
Worst purchase ever,0
This product is amazing,1
Great experience,1
Poor quality,0
Very bad product,0
Worst purchase ever,0
This product is amazing,1
Great experience,1
This product is amazing,1
Very bad product,0
Very satisfied with purchase,1
Great experience,1
Terrible experience,0
I love this item,1
This product is amazing,1
Not worth the money,0
Poor quality,0
Highly recommend,1
Terrible experience,0
Excellent quality,1
Highly recommend,1
Terrible experience,0
I love this item,1
Very satisfied with purchase,1
Poor quality,0
Excellent quality,1
Terrible experience,0
Worst purchase ever,0
Terrible experience,0
Great experience,1
Not worth the money,0
Excellent quality,1
This product is amazing,1
Very bad product,0
Excellent quality,1
Highly recommend,1
Excellent quality,1
This product is amazing,1
Highly recommend,1
Very bad product,0
I hate this,0
Very satisfied with purchase,1
I hate this,0
Poor quality,0
Not worth the money,0
Worst purchase ever,0
This product is amazing,1
This product is amazing,1
Very satisfied with purchase,1
Excellent quality,1
Excellent quality,1
Highly recommend,1
Excellent quality,1
Great experience,1
I hate this,0
Great experience,1
Poor quality,0
Poor quality,0
I love this item,1
Highly recommend,1
Very bad product,0
This product is amazing,1
I love this item,1
Not worth the money,0
This product is amazing,1
Excellent quality,1
Poor quality,0
Very bad product,0
Worst purchase ever,0
I hate this,0
Not worth the money,0
This product is amazing,1
Highly recommend,1
I love this item,1
Very bad product,0
Excellent quality,1
Excellent quality,1
Terrible experience,0
Poor quality,0
Terrible experience,0
This product is amazing,1
Great experience,1
Not worth the money,0
Terrible experience,0
Terrible experience,0
Worst purchase ever,0
Great experience,1
I love this item,1
Terrible experience,0
I love this item,1
Not worth the money,0
This product is amazing,1
This product is amazing,1
Great experience,1
Worst purchase ever,0
Highly recommend,1
Very bad product,0
Very satisfied with purchase,1
Great experience,1
I hate this,0
Excellent quality,1
Great experience,1
Poor quality,0
Poor quality,0
Highly recommend,1
I love this item,1
Excellent quality,1
I love this item,1
Not worth the money,0
Worst purchase ever,0
Very satisfied with purchase,1
This product is amazing,1
Excellent quality,1
I love this item,1
Poor quality,0
Poor quality,0
Very bad product,0
This product is amazing,1
Very satisfied with purchase,1
Excellent quality,1
Worst purchase ever,0
Very satisfied with purchase,1
Highly recommend,1
Very bad product,0
Terrible experience,0
I love this item,1
Great experience,1
Not worth the money,0
Excellent quality,1
Worst purchase ever,0
Very bad product,0
Not worth the money,0
Terrible experience,0
This product is amazing,1
Terrible experience,0
Excellent quality,1
Very satisfied with purchase,1
Very bad product,0
Very bad product,0
I hate this,0
Poor quality,0
I love this item,1
Worst purchase ever,0
Very bad product,0
This product is amazing,1
Excellent quality,1
I love this item,1
Excellent quality,1
I love this item,1
Poor quality,0
Worst purchase ever,0
Very satisfied with purchase,1
Highly recommend,1
Terrible experience,0
Great experience,1
I hate this,0
Very satisfied with purchase,1
Excellent quality,1
Very satisfied with purchase,1
Poor quality,0
Highly recommend,1
Very bad product,0
This product is amazing,1
Highly recommend,1
Terrible experience,0
Great experience,1
Terrible experience,0
Very satisfied with purchase,1
This product is amazing,1
Very satisfied with purchase,1
Excellent quality,1
Great experience,1
I hate this,0
Poor quality,0
Great experience,1
Worst purchase ever,0
Worst purchase ever,0
Not worth the money,0
This product is amazing,1
Great experience,1
Very bad product,0
Poor quality,0
